name;description;code;user_id;supplier_id;category_id
Carnes Para Asado X Kg;;162;1.0;1.0;3
Carpeta Bibliorato;;163;1.0;1.0;3
Carpeta Check List Generador;;164;1.0;1.0;3
Carpeta Control De Extintores   ;;165;1.0;1.0;3
Carpeta De Legajo;;166;1.0;1.0;3
Carpeta Para Ats;;167;1.0;1.0;3
Carpeta Para Check List Camimoneta ;;168;1.0;1.0;3
Carpeta Para Check List CamiÇün;;169;1.0;1.0;3
Carpeta Para Check List Luminaria;;170;1.0;1.0;3
Carpeta Porta Block;;171;1.0;1.0;3
Carpeta Verde Con Planillas De Epp Y Capaciotaciones.;;172;1.0;1.0;3
Carpetas Tapa Blanda ;;173;1.0;1.0;3
Carretel De Warline Completo Con Motor HidrÇ­ulico;;174;1.0;1.0;3
Carro Azul;;175;1.0;1.0;3
Carro Para Barra;;176;1.0;1.0;3
Carro Para Tubo De Nitrogeno;;177;1.0;1.0;3
Cartel De Entrada Uso Obligatorio De Epp;;178;1.0;1.0;3
Cartel De Estacionamiento;;179;1.0;1.0;3
Cartel De Punto De Encuentro;;180;1.0;1.0;3
Cartel De Punto De Reunion;;181;1.0;1.0;3
Cartel De Sectores (Sector Aditivos, Sector Aceites, Sector Piletas, Sector Residuos);;182;1.0;1.0;3
Cartel Para Maquina;;183;1.0;1.0;3
Cartel Riesgo ElÇ¸ctrico ;;184;1.0;1.0;3
Cartel Solo Personal Autorizado;;185;1.0;1.0;3
Carteleria De Riesgo Electrico Adhesivo;;186;1.0;1.0;3
Carteleria De Seguridad Adhesiva Varias ;;187;1.0;1.0;3
Carteles De Abc;;188;1.0;1.0;3
Carteles Varios;;189;1.0;1.0;3
Casco Con Sordinas Colocadas;;190;1.0;1.0;3
Casco Libus Con Cremallera (Acevedo);;191;1.0;1.0;3
Casco Libus Con Cremallera (Calpanchay);;192;1.0;1.0;3
Casco Para Stock Con Cremallera Para Stock;;193;1.0;1.0;3
Casco Y Sordina (Para Luis Chayle);;194;1.0;1.0;3
Casilla;;195;1.0;1.0;3
Casilla ;;196;1.0;1.0;3
Cassing;;197;1.0;1.0;3
Cassing X 1 Mt;;198;1.0;1.0;3
Cassing X 1,5 Mts;;199;1.0;1.0;3
CaÇños Para Fin De Pozo Con Tapas ;;200;1.0;1.0;3
Cemento X Palet;;201;1.0;1.0;3
Cepillo De Acero ;;202;1.0;1.0;3
Cepillos ;;203;1.0;1.0;3
Cepillos De Acero;;204;1.0;1.0;3
Cepillos De Aceros;;205;1.0;1.0;3
Cepillos Sin Palos ;;206;1.0;1.0;3
Chaleco Para Stock ;;207;1.0;1.0;3
Chaleco Polar;;208;1.0;1.0;3
Chaleco Reflectivo ;;209;1.0;1.0;3
Chaleco Reflectivo (Acevedo);;210;1.0;1.0;3
Chaleco Reflectivo (Calpancahay);;211;1.0;1.0;3
Chaleco Reflectivo (Guillermina);;212;1.0;1.0;3
Chaleco Reflectivo Para Sotck Xl;;213;1.0;1.0;3
Chalecos Talle L;;214;1.0;1.0;3
Chorizo X Kg;;215;1.0;1.0;3
Cilicona En Aerosol;;216;1.0;1.0;3
Cinta Aisladora;;217;1.0;1.0;3
Cinta Aisladora ;;218;1.0;1.0;3
Cinta Aisladora X 10 Mts;;219;1.0;1.0;3
Cinta Aisladora X 20 Mts;;220;1.0;1.0;3
Cinta Americana;;221;1.0;1.0;3
Cinta Americana ;;222;1.0;1.0;3
Cinta Autosoldante;;223;1.0;1.0;3
Cinta De Embalaje;;224;1.0;1.0;3
Cinta Multiproposito;;225;1.0;1.0;3
Cinta Para Embalar ;;226;1.0;1.0;3
Cinta Transparente;;227;1.0;1.0;3
Cintas Aisladoara De 10 Mts;;228;1.0;1.0;3
Clan Para Cable 3 1/6;;229;1.0;1.0;3
Clanes ;;230;1.0;1.0;3
Cmpera Termica M (Acevedo);;231;1.0;1.0;3
Codo Pvc;;232;1.0;1.0;3
Compresor 14 Bar;;233;1.0;1.0;3
Compresor Amarillo;;234;1.0;1.0;3
Concervadora Tapa Roja ;;235;1.0;1.0;3
Conjunto De Primera Piel ;;236;1.0;1.0;3
Conos ;;237;1.0;1.0;3
Conos De Seguridad;;238;1.0;1.0;3
Corona Cristensen Hq3 Serie 185800S6;;239;1.0;1.0;3
Corona Cristensen Hq3 Serie 186205S6;;240;1.0;1.0;3
Corona Cristensen Hq3 Serie 308434S7;;241;1.0;1.0;3
Corona Cristensen Hq3 Serie 508472S7;;242;1.0;1.0;3
Corona Cristensen Hq3 Serie 508473S7;;243;1.0;1.0;3
Corona Formula Hq3 Serie 110208S7;;244;1.0;1.0;3
Corona Formula Hq3 Serie 863890S7;;245;1.0;1.0;3
Corona Hq Formula;;246;1.0;1.0;3
Corona Nq Serie 490312;;247;1.0;1.0;3
Corona Nq3 Serie 487197;;248;1.0;1.0;3
Corona Nq3 Serie 497187;;249;1.0;1.0;3
Corona Nq3 Serie 497188;;250;1.0;1.0;3
Corona Nq3 Serie 497191;;251;1.0;1.0;3
Coronas Usadas Hq3;;252;1.0;1.0;3
Coronoa Zpata Hwt Serie  492538;;253;1.0;1.0;3
Corta Hierro;;254;1.0;1.0;3
Corta Hierro Con Proteccion;;255;1.0;1.0;3
Cubre Casco (Soledad);;256;1.0;1.0;3
Cubre Nuca Polar (Acevedo);;257;1.0;1.0;3
Cubre Nuca Polar (Calpancahy);;258;1.0;1.0;3
Cuerda Para Motobomba;;259;1.0;1.0;3
"Disco De Corte  4 1/2"" ";;260;1.0;1.0;3
"Disco De Corte  7""";;261;1.0;1.0;3
"Disco De Corte 4""";;262;1.0;1.0;3
"Disco De Corte 7""";;263;1.0;1.0;3
"Disco De Corte 7X1/16X7/8""";;264;1.0;1.0;3
Disco De Corte Chicos;;265;1.0;1.0;3
Disco De Corte Y Desbaste Caja Cerrada Para Ambas Amoladoras;;266;1.0;1.0;3
Disco De Cortes Grandes ;;267;1.0;1.0;3
"Disco De Desbaste 4""";;268;1.0;1.0;3
"Disco De Desbaste 7""";;269;1.0;1.0;3
"Disco De Desbaste 7X1/4X7/8""";;270;1.0;1.0;3
"Disco Debaste 4 1/2""";;271;1.0;1.0;3
"Disco Desbaste 7""";;272;1.0;1.0;3
Dispersante De Arsilla X 20 L;;273;1.0;1.0;3
Ecolub X 20 L;;274;1.0;1.0;3
Electro Ventilador;;275;1.0;1.0;3
Electrodo 6013 X 5 Kg;;276;1.0;1.0;3
Electrodo 70/18 ;;277;1.0;1.0;3
Electrodo Arco 13   3,25Mm;;278;1.0;1.0;3
Electrodo Punta Azul;;279;1.0;1.0;3
Electrodos 5Kg;;280;1.0;1.0;3
Elefante Para Packer;;281;1.0;1.0;3
Embudo;;282;1.0;1.0;3
Equipo  Matero, Termo Y Mate Keep;;283;1.0;1.0;3
Equipo De Perfilaje Completo;;284;1.0;1.0;3
Escalera De Casilla;;285;1.0;1.0;3
Escalera De Lf70 (Con Barandas);;286;1.0;1.0;3
Escareador Nq Codigo 91427;;287;1.0;1.0;3
Escariador Hq Haidem;;288;1.0;1.0;3
Escoba Con Palo;;289;1.0;1.0;3
